,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",The Papercut Chronicles II,2mumCpGmuE9iDeOvMx6XrB,0qOnSQQF0yzuPWsXrQ9paz,83,2011-11-11,210960,False,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99
1,Locked Away (feat. Adam Levine),"R. City, Adam Levine",What Dreams Are Made Of,4AUTMNSP56xicSznzKgzjB,7x5xYW5W42OGPAdHUyyguy,79,2015-10-09,227480,False,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy,0.509,0.671,1,-5.709,1,0.0678,0.304,0.0,0.0452,0.55,118.413
2,Bang Bang,"K'NAAN, Adam Levine",Troubadour,4KJCTmDLyr3AYJAN8dBaKo,61YzdCCBPM5Pc7lIiD5i8C,71,2009,186533,True,https://open.spotify.com/track/61YzdCCBPM5Pc7lIiD5i8C,0.623,0.901,10,-4.402,0,0.182,0.0785,0.0,0.0251,0.896,179.985
3,Lifestyle (feat. Adam Levine),"Jason Derulo, Adam Levine, Maroon 5",Lifestyle (feat. Adam Levine),0SNj1uja6FAoffAMOTdlLy,0osvOdeD3YXZiWkT8MKolJ,67,2021-01-21,153865,True,https://open.spotify.com/track/0osvOdeD3YXZiWkT8MKolJ,0.749,0.674,10,-5.128,0,0.0366,0.0209,0.0,0.169,0.711,123.055
4,Ojalá,"The Rudeboyz, Maluma, Adam Levine",Ojalá,00XhrF5bpFfMJ0tT85DkTY,4dLIAE3xbJLoiIBbKkZWJk,65,2022-10-20,189080,False,https://open.spotify.com/track/4dLIAE3xbJLoiIBbKkZWJk,0.765,0.624,7,-4.932,1,0.0929,0.325,0.0,0.104,0.277,92.984
5,Good Mood - Original Song From Paw Patrol: The Movie,Adam Levine,Good Mood (Original Song From Paw Patrol: The Movie),5YQDkKa0fHnIYnVdfrQLqI,4uX1pkSuSidzJxT4eWL7x1,65,2021-08-06,210643,False,https://open.spotify.com/track/4uX1pkSuSidzJxT4eWL7x1,0.735,0.694,11,-5.258,0,0.0387,0.00088,0.0,0.0582,0.777,121.46
6,Lost Stars,Adam Levine,V (Asia Tour Edition),6LtzdMGhOCh9s6sssWrpuD,1Duym1lVQurgKHHSqpOWhY,61,2015-05-18,267787,False,https://open.spotify.com/track/1Duym1lVQurgKHHSqpOWhY,0.494,0.582,0,-4.769,1,0.0266,0.102,0.0,0.0797,0.416,82.025
7,Heard 'Em Say,"Kanye West, Adam Levine",Late Registration,5ll74bqtkcXlKE7wwkMq4g,6yIjtVtnOBeC8SwdVHzAuF,66,2005-08-30,203733,True,https://open.spotify.com/track/6yIjtVtnOBeC8SwdVHzAuF,0.744,0.696,7,-8.313,0,0.162,0.0535,0.0454,0.128,0.563,95.07
8,No One Else Like You,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,2fKvStJ1UkXMkf5kzBp3DQ,6CdV33i2ztlvFheXGz4Huc,52,2014-07-01,208427,False,https://open.spotify.com/track/6CdV33i2ztlvFheXGz4Huc,0.625,0.815,11,-3.904,0,0.0325,0.0265,0.0,0.29,0.485,115.95
9,Yesterday - The Voice Performance,"Adam Levine, Tony Lucca",Yesterday (The Voice Performance),25vKdvb2IkaTIuHLcIgrAZ,5fvETjmhp6xoCQKVAjklVE,45,2012-01-01,131187,False,https://open.spotify.com/track/5fvETjmhp6xoCQKVAjklVE,0.629,0.226,4,-10.029,1,0.0256,0.874,0.0,0.116,0.339,91.025
